Popa Traian-Stefan,Partidul Social Democrat,2008,7767
Tomus Ilie,Partidul Democrat Liberal,2008,7810
Horsia Ioan,Partidul Democrat Liberal,2008,7865
Rusu Daniel-Gheorghe,Partidul Democrat Liberal,2008,7945
Jinar Constantin,Partidul National Liberal,2008,8014
Nicoara Aurel,Partidul National Liberal,2008,8158
Lazea Nicolae,Partidul National Liberal,2008,8229
Pusca Vasile,Partidul Democrat Liberal,2008,8354
Resiga Ioan Alexandru,Partidul Democrat Liberal,2008,8425
Danciu Alexandru,Partidul Democrat Liberal,2008,8826
Branc Ioan Dumitru,Conventia Democratica Din Romania,1996,9262
Burdan Gheorghe,Candidat independent,1996,9459
Don Gheorghe,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,9495
Feies Petru,Candidat independent,1996,9538
Gherman Petru,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,9574
Szuchanszki Stefan,Uniunea Democratica A Slovacilor Si Cehilor Din Romania,1996,9627
Farcas Ioan,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,9654
Feies Gheorghe Petru,Candidat independent,1996,9690
Dalca Filip,Partidul Democratiei Sociale Din Romania,1996,9743
Sarac Ioan,Miscarea Ecologista Din Romania,1996,9798
Valea Nicolae,Partidul Democratiei Sociale Din Romania,1996,9832
Popa Ioan,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,9887
Tica Pavel,Miscarea Ecologista Din Romania,1996,9930
Gutu Ioan,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,10006
Ciev Avram,Partidul Democratiei Sociale Din Romania,1996,10051
Popovici Vlademir Adinel,Conventia Democratica Din Romania,1996,10104
Palcu Vichentie,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,10195
Vesa Dumitru,Partidul Democrat Agrar Din Romania,1996,10239
Dragan Dragos Emil,Partidul Democrat Agrar Din Romania,1996,10293
Rosu Emilian,Partidul Democratiei Sociale Din Romania,1996,10346
Petrica Cornel,Candidat independent,1996,10373
Stan Ioan,Partidul Democrat Agrar Din Romania,1996,10417
Suciu Petru Iosif,Partidul Democratiei Sociale Din Romania,1996,10453
Ciceu Simion Dorin,Partidul Democratiei Sociale Din Romania,1996,10514
Popa Flore,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,10532
Costea Florin,Candidat independent,1996,10649
Motoc-Cev Gheorghe,Partidul Democratiei Sociale Din Romania,1996,10701
Salajan Dimitrie,Conventia Democratica Din Romania,1996,10827
Popescu Marin,Partidul Liberal - 1993,1996,9280
Ierimiciuc Octavian,Partidul Democrat Agrar Din Romania,1996,10872
Nedea Florea,Partidul Democrat Agrar Din Romania,1996,10916
Florea Ioan Gheorghe,Partidul Democrat Agrar Din Romania,1996,10943
N/A,,1996,11058
Popovici Cornel,Partidul Democratiei Sociale Din Romania,1996,11174
Mot Pavel,Partidul Democratiei Sociale Din Romania,1996,11236
Marc Teodor,Partidul Democratiei Sociale Din Romania,1996,11307
Kiss Stefan,Uniunea Democrata Maghiara Din Romania,1996,11352
Giurgiu Mihaita Aurel,Conventia Democratica Din Romania,1996,9333
Mercea Ioan,Partidul Liberal - 1993,1996,11398
Hodre Flore,Conventia Democratica Din Romania,1996,11423
Condea Terentie,Partidul Democratiei Sociale Din Romania,1996,11478
Musca Stefan,Partidul Democratiei Sociale Din Romania,1996,11502
Cucos Eduard,Partidul Democratiei Sociale Din Romania,1996,11539
Munareant Ioan,Partidul Democratiei Sociale Din Romania,1996,11584
Nagy Alexandru,Uniunea Democrata Maghiara Din Romania,1996,11637
Bedreag Simion,Partidul Democratiei Sociale Din Romania,1996,11664
Sur Moisa,Partidul Democratiei Sociale Din Romania,1996,11735
Sandru Gheorghe,Partidul Democratiei Sociale Din Romania,1996,11762
Fratila Ioan,Partidul Democratiei Sociale Din Romania,1996,11842
Cordovan Constanta,Miscarea Ecologista Din Romania,1996,11940
Ienciu Gheorghe,Partidul Democratiei Sociale Din Romania,1996,11995
Stoian Letitia,Candidat independent,1996,12037
Bibe Gheorghe,Candidat independent,1996,12055
Ciurel C.Constantin Octavian,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,12091
Hanza Nicolae,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,12126
Anghel Liviu Stefan,Conventia Democratica Din Romania,1996,12144
Avram Ilie,Candidat independent,1996,12206
Petran Petru,Candidat independent,1996,12224
Filimon Ovidiu Gheorghe,Conventia Democratica Din Romania,1996,12242
Ratiu Pavel,Partidul Socialist Al Muncii,1996,12288
Sonca Petru,Partidul Democratiei Sociale Din Romania,1996,12340
Gurban Ioan Dorin,Partidul Democrat Agrar Din Romania,1996,12368
Pascu Gheorghe,Partidul Democrat Agrar Din Romania,1996,12402
Babau Ioan,Conventia Democratica Din Romania,1996,9360
Horga Florin Petrica,Conventia Democratica Din Romania,1996,12457
Farcasiu Florin,Conventia Democratica Din Romania,1996,12509
Tomescu Ioan Gheorghe,Miscarea Ecologista Din Romania,1996,10765
Bugariu Adrian,Candidat independent,1996,12572
Sarca Gavril,Uniunea Social Democrata Pd(Fsn) - Psdr,1996,12643
Suciu Ioan,Candidat independent,1996,12689
Hornariu Virgil,Conventia Democratica Din Romania,1996,9397
Zembrod Ioan,Partidul Democratiei Sociale Din Romania,1996,12778
Mot Ion Florin,Candidat independent,1996,12812
Ozsvar Zoltan,Uniunea Democrata Maghiara Din Romania,1996,12849
Harap Dumitru,Conventia Democratica Din Romania,1996,12876
Popa Dorel,Partidul Democratiei Sociale Din Romania,2000,9262
Burdan Gheorghe,Candidat independent,2000,9459
Don Gheorghe,Partidul Democrat,2000,9495
Mehelean Nicolae,Alianta Pentru Romania,2000,9538
Gherman Petru,Partidul Democrat,2000,9574
Szuchanszki Stefan,Uniunea Democrata A Slovacilor Si Cehilor Din Romania,2000,9627
Retter Iosif,Partidul Democratiei Sociale Din Romania,2000,9654
Lambing L.Marius Tiberiu,Partidul Popular Din Romania,2000,9690
Dalca Filip,Partidul Democratiei Sociale Din Romania,2000,9743
Tulcan Rodica,Partidul Democratiei Sociale Din Romania,2000,9798
Valea Nicolae,Partidul Democratiei Sociale Din Romania,2000,9832
Popa Ioan,Alianta Pentru Romania,2000,9887
Tica Pavel,Alianta Pentru Romania,2000,9930
Gutu Ioan,Partidul Democrat,2000,10006
Ciev Avram,Partidul Democratiei Sociale Din Romania,2000,10051
Popovici Vlademir-Adinel,Partidul National Liberal,2000,10104
Pacu T.Vichentie,Partidul Popular Din Romania,2000,10195
Maris Vasile,Partidul Popular Din Romania,2000,10239
Giura Dumitru,Candidat independent,2000,10293
Rosu Emilian,Partidul Democratiei Sociale Din Romania,2000,10346
Vesa Ioan -DANIEL,Partidul Romania Mare,2000,10373
Stan Ioan,Partidul Democratiei Sociale Din Romania,2000,10417
Moldovan Petrica,Federatia Ecologista Din Romania,2000,10453
Ciceu Simion Dorin,Partidul Democratiei Sociale Din Romania,2000,10514
Trinc Petru,Partidul Democratiei Sociale Din Romania,2000,10532
Neagu Gheorghe,Partidul Democratiei Sociale Din Romania,2000,10649
Crisan Ioan,Partidul Democrat,2000,10701
Tuplea Cornel,Partidul Democrat,2000,10827
Mares Mircea,Partidul Democratiei Sociale Din Romania,2000,9280
Luca Mircea,Conventia Democrata Romana,2000,10872
Farcu Gheorghe Emil,Partidul Social Democrat Roman,2000,10916
Floarea Ioan-Gheorghe,Partidul National Liberal,2000,10943
Iorga Emil-Marin,Candidat independent,2000,11058
Tonta Mihaiu,Partidul Democratiei Sociale Din Romania,2000,11174
Popa Cornel,Conventia Democrata Romana,2000,11236
Marc Teodor,Partidul Democratiei Sociale Din Romania,2000,11307
Lacatus Gheorghe-Dimitri,Partidul Democratiei Sociale Din Romania,2000,11352
Urzicaru Gheorghe,Partidul Democratiei Sociale Din Romania,2000,9333
Mercea Ioan,Federatia Ecologista Din Romania,2000,11398
Haasz Tiberiu,Uniunea Democrata Maghiara Din Romania,2000,11423
Condea Terentie,Partidul Democratiei Sociale Din Romania,2000,11478
Musca Stefan,Partidul Democratiei Sociale Din Romania,2000,11502
Turcin Ioan,Alianta Pentru Romania,2000,11539
Cionca Arghir Iustin,Partidul Democrat,2000,11584
Nagy Alexandru,Uniunea Democrata Maghiara Din Romania,2000,11637
Petrean Emil,Partidul Democratiei Sociale Din Romania,2000,11664
Sur Moisa,Partidul Democratiei Sociale Din Romania,2000,11735
Budea Gh.Viorel,Partidul Popular Din Romania,2000,11762
Fratila Ioan,Partidul Democrat,2000,11842
Cismas Dumitru-Gheorghe,Alianta Pentru Romania,2000,11940
Ienciu Gheorghe,Alianta Pentru Romania,2000,11995
Stoian Letitia,Candidat independent,2000,12037
Bibe Gheorghe,Partidul Popular Din Romania,2000,12055
Ilica Ioan,Partidul Democratiei Sociale Din Romania,2000,12091
Jura Ioan Dimitrie,Conventia Democrata Romana,2000,12126
Roncov Francisc,Partidul National Liberal,2000,12144
Pacurar Remus,Partidul Romania Mare,2000,12206
Horga Petru,Conventia Democrata Romana,2000,12224
Radita Aurel Mircea,Partidul Democrat,2000,12242
Scrob Corneliu-Gheorghe,Partidul Democratiei Sociale Din Romania,2000,12288
Sonca Petru,Partidul Democratiei Sociale Din Romania,2000,12340
Gurban Ioan Dorin,Partidul Democrat,2000,12368
Pascu Gheorghe,Conventia Democrata Romana,2000,12402
Babau Ioan,Partidul Democratiei Sociale Din Romania,2000,9360
Ples Gheorghe,Alianta Pentru Romania,2000,12457
Farcasiu Florin,Candidat independent,2000,12509
Rasadean Nicolae-Florin,Partidul Democrat,2000,10765
Miclea Mircea Eugen,Alianta Pentru Romania,2000,12572
Sarca Gavril,Partidul National Liberal,2000,12643
Suciu Ioan,Candidat independent,2000,12689
Pantos Ioan,Partidul Democrat,2000,9397
Siminaica Alexandru,Candidat independent,2000,12778
Mot Ion-Florin,Partidul National Roman,2000,12812
Ozsvar Zoltan,Uniunea Democrata Maghiara Din Romania,2000,12849
Kovacs Andrei,Uniunea Democrata Maghiara Din Romania,2000,12876
